"seq_id","metabolomics_id","sampleid","sample_id","shannon","inv_simpson","richness","shannon_genus"
"220325-DFI.25.S",NA,"DFI0025","DFI.25.S",3.76110997390293,19.2871877473382,207,3.05511157602882
"230809-DFI.32.S","DFI_32_S","DFI0032","DFI.32.S",4.04328288816501,35.6335729645743,154,2.47250276286527
"230809-DFI.31.S","DFI_31_S","DFI0031","DFI.31.S",3.95174580214358,30.0729943364401,161,3.31541507528188
"230809-DFI.33.S","DFI_33_S","DFI0033","DFI.33.S",3.35777772360982,16.3834216673954,112,3.96437881894994
"230809-DFI.34.S","DFI_34_S","DFI0034","DFI.34.S",3.4943736795753,14.9295925566745,143,3.22901381026045
"230809-DFI.30.S","DFI_30_S","DFI0030","DFI.30.S",3.37230600274401,15.9768644546592,103,3.7282649921125
"230809-DFI.29.S","DFI_29_S","DFI0029","DFI.29.S",3.81201704106967,22.9798396830034,148,3.81077314978559
"210327-DFI.8","DFI_8S","DFI0008","DFI.8",3.80999275835382,21.6617782051685,160,2.70020258133669
"210327-DFI.9","DFI_9S","DFI0009","DFI.9",4.04924499616506,33.7359422390758,169,2.93963796998585
"211126-DFI.20.S","DFI_20_S","DFI0020","DFI.20.S",3.88071792193398,29.1554125276121,164,3.23270196251352
"211126-DFI.23.S","DFI_23_S","DFI0023","DFI.23.S",3.30566314716221,12.0163655836108,113,3.20535404859911
"211126-DFI.21.S","DFI_21_S","DFI0021","DFI.21.S",4.23494263987111,42.3315569049882,204,3.0349475436669
"211126-DFI.22.S","DFI_22_S","DFI0022","DFI.22.S",4.22861530701346,35.2523726516656,279,3.41089447768368
"211126-DFI.24.S","DFI_24_S","DFI0024","DFI.24.S",3.39781989136004,17.4899224688335,104,3.7425292350087
"20250429_CLIN_SSG_DFI_35_S","DFI_35_S","DFI0035","DFI.35.S",3.65539304176518,21.0352510367942,154,2.96273813289676
"20250429_CLIN_SSG_DFI_36_S","DFI_36_S","DFI0036","DFI.36.S",3.93873188850533,25.8670977296129,250,3.3647162247353
"20250506_CLIN_SSG_DFI_37_S","DFI_37_S","DFI0037","DFI.37.S",3.37388471585261,8.73964995383074,191,3.36343816287593
"220924-DFI.27","DFI_27","DFI0027","DFI.27",3.59565047878674,19.3624826344146,198,2.92471706220513
"220924-DFI.28","DFI_28","DFI0028","DFI.28",3.59098088905992,24.4352952967906,134,2.91252685685619
"20250710_CLIN_SSG_DFI_38_S",NA,"DFI0038","DFI.38.S",4.61086046607245,56.4500562522995,314,3.156708343499
"210811-DFI10.screen","DFI_10S","DFI0010","DFI10.screen",3.59131068802493,20.2059314691749,157,3.51009806278434
"210811-DFI.5.stool.S1","DFI_5","DFI0005","DFI.5.stool.S1",3.61393510823159,14.3333888250839,171,3.13653993498488
"210811-DFI13.Screen","DFI_13S","DFI0013","DFI13.Screen",4.28643616967591,39.9202025738048,246,4.11013027206717
"210811-DFI11.screen","DFI_11S","DFI0011","DFI11.screen",2.80769895502064,6.88043292776316,102,3.25305632651548
"210811-DFI12.screen","DFI_12S","DFI0012","DFI12.screen",3.35053732709654,8.78530696468956,169,3.25923041971067
"210811-DFI14.Screen","DFI_14S","DFI0014","DFI14.Screen",4.12502057945426,33.5415291259717,258,3.17525558884211
"210811-DFI15.Screen","DFI_15_S","DFI0015","DFI15.Screen",3.90235360887836,26.07099251286,159,3.59950405216366
"210811-DFI7.S1","DFI_7","DFI0007","DFI7.S1",3.69169623311649,27.369387311433,144,3.14585011232512
"210811-DFI16.Screen","DFI_16_S","DFI0016","DFI16.Screen",3.65538489730335,17.6905178305788,220,2.26853242651317
"210811-DFI6.S1","DFI_6","DFI0006","DFI6.S1",4.22898206381493,45.2605987163406,189,2.98375041829411
"220523-DFI.1-Neat",NA,"DFI0001","DFI.1-Neat",3.50402698343103,17.8341086284878,123,3.76825550594872
"220523-DFI.4.Neat",NA,"DFI0004","DFI.4.Neat",3.71568211084548,18.4949836413111,251,3.8054287020303
"220523-DFI.3-Neat",NA,"DFI0003","DFI.3-Neat",4.21465973591998,33.8574751188846,276,3.34969941702296
"211203-Donor-DFI.18.S","DFI_18_S","DFI0018","DFI.18.S",3.75177043772672,21.4619448007657,169,3.332390120316
"211203-Donor-DFI.19.S","DFI_19_S","DFI0019","DFI.19.S",4.37264670618395,45.391977897241,249,3.66388699750616
"211203-Donor-DFI.17.S","DFI_17_S","DFI0017","DFI.17.S",3.0998127003053,10.6511399963785,124,3.10932815905415
